1845,3115806
87416,3741829
190172,3052285
275792,6100961
443305,3797284
547580,7431771
751626,7049509
945179,10978356
1246581,3448512
1343079,5947720
1508184,12717965
1859139,4726978
1990735,2572092
2061382,10620923
2354769,4103948
2469264,13756371
2846917,15515494
3274662,3582683
3374842,8587
3376917,11240968
3685529,1231770
3721176,7886661
3939509,6325380
4114981,7542126
4322058,7410075
4525509,15318648
4946051,11673676
5268341,5523272
5421798,13286113
5788342,3295465
5880640,9379223
6138145,1349730
6177033,6397208
6352680,8283771
6581912,1388383
6620065,12184126
6954563,8939834
7201806,7034021
7394932,10291103
7677469,12145390
8010903,10372210
8297465,5849410
8458076,10585669
8748698,3226931
8837321,13654476
9213980,16332419
9662354,3554373
9761764,5627243
9916271,422560
9929707,7372258
10133914,6553481
10313845,5682374
10471663,2774870
10549674,6600557
10732699,1038976
10761255,10361346
11047523,13134488
11409909,5019800
11549541,10511874
11839939,15416410
12263169,7401334
12468174,8930023
12715144,13356685
13081828,8008737
13303514,2829411
13381224,5993105
13545776,8129569
13770780,7127633
13968274,14150327
14356742,15906559
14795218,9193591
15049426,12550207
15393976,2239861
15457301,8579016
15694632,6871355
15885091,13710472
16261491,7752634
16476142,7803633
16690394,6933909
16880769,6719754
17067070,6302719
17241919,11534078
17558567,249792
17565458,8454091
17799359,11906230
18126227,8061352
18347556,11718989
18671085,11732356
18993186,10235885
19276003,16048416
19718378,10146835
19998752,590041
20014988,5658833
20172162,12506219
20517300,14217325
20909408,10295853
21192078,9922995
21464507,12946362
21819928,12988363
22178303,7985576
22397546,15932047
22834930,13253483
23200585,13328608
23566499,3962764
23677116,8233365
23903163,5909914
24067232,7278383
24267071,2802476
24345838,12171227
24679979,8060230
24903072,7940003
25121069,11069518
25426769,1446472
25468317,13882026
25849421,7290820
26049596,8356395
26279024,3187115
26368347,7909624
26587303,14648542
26989449,10960198
27290354,10705735
27584273,16024476
28025990,10783833
28323850,10914225
28625287,13385956
28994575,5346446
29141375,1295756
29176980,2374245
29243994,3098835
29329096,2107593
29388788,14754449
29793846,8515667
30027642,12991735
30386108,4709201
30515415,13236454
30878795,10042496
31154507,14102402
31541666,2563245
31612068,4125011
31727137,6021658
31892473,12243580
32230401,7833298
32445465,11819868
32771766,7122929
32969127,14248668
33360297,10958164
33661146,2576905
33731926,11689773
34054657,15090882
34470747,2523466
34541856,9883703
34815006,5499893
34966013,7559846
35173573,12189600
35508218,1899053
35562184,1644051
35607358,3425077
35703219,15607924
36133505,1253148
36167948,15864351
36605276,15319379
